PC1,PC2,PC3,PC4,PC5,Failure Type
0.19181823121358532,-0.6835839875343623,-0.2257701575306732,-0.37883845809185945,-0.06920551903667069,1
-0.5335748438114853,-0.43709521823097514,-0.3326827895463348,-0.3136776444675463,0.09708136409463314,1
-0.5371023754552253,-0.44949729175354897,-0.3223566107955592,-0.3008835600143436,0.05892129210980551,1
-0.5357353829802336,-0.4373478420833865,-0.26710778809549063,-0.31785035282637597,-0.01734075980352251,1
-0.5341633322298693,-0.4335156808236622,-0.272214343554779,-0.3112005701129287,0.01470016372013555,1
0.19253545874194422,-0.6873183551565514,-0.24173430100127813,-0.33075865788688813,0.03255211077785286,1
-0.5368999610102199,-0.43838689514034046,-0.22047941726045978,-0.3042967228627525,-0.07777279772936599,1
-0.5369098672473338,-0.43825201692590166,-0.21252304502310382,-0.2991189150823694,-0.08089385511777286,1
0.1923081303259645,-0.6580664119918875,-0.016944398777825165,-0.3919597054255923,-0.3382206858448243,1
0.19731093992639626,-0.6319499733151921,0.0448386996946778,-0.4179679027711304,-0.3912200160356172,1
-0.9192307263221262,-0.16946232385702825,-0.006860379007161965,-0.3164024715648193,-0.5235520959555143,1
-0.9101856812559833,-0.17519023392125516,-0.2698010832296472,-0.2195087594179692,0.07424060616926731,1
0.20476563174838336,-0.6496460024434277,-0.24049172649849715,-0.2763674659636868,0.2811439919255817,1
0.20090808337267896,-0.6187799183130451,0.08620057133223702,-0.3807694677896456,-0.3417085349441218,1
-0.5242574095183529,-0.3914111723716179,-0.15071151258918086,-0.2573915935671802,0.07518393460304812,1
0.20575229049019883,-0.6430455017353132,-0.18994036129894898,-0.25806164355507943,0.2531704500890749,1
0.20586156052502436,-0.6347704986096274,-0.12920600197207427,-0.2716357916032632,0.16293128869426876,1
-0.9053496561668851,-0.17130794168481073,-0.3201409874144867,-0.1325092646075233,0.34080832497342206,1
0.20573433148250542,-0.6064195785191994,0.08865295835568787,-0.32659528743641064,-0.18754839863548053,1
-0.9051593688534805,-0.1532788354916801,-0.17934436781174456,-0.15660887849598853,0.13221199072915912,1
-0.5213194172062972,-0.37924004281084184,-0.09417360797603669,-0.2064435639904833,0.12901229080211918,1
0.2058128004022831,-0.6071130148882824,0.10748973369540482,-0.2946426834030514,-0.1614168507369107,1
-0.5226803570719258,-0.34454518294030456,0.19312875595474677,-0.29672925387382604,-0.3790030886575328,1
0.208904467122479,-0.6022140657250767,0.07438952563296852,-0.27103905210406215,-0.042802370794633615,1
-0.5223116980602496,-0.3344944742187522,0.2697898324222042,-0.3072187255038728,-0.49090190569172804,1
-0.5172499471470013,-0.3513213313946916,0.0246484570599812,-0.21825684094606268,0.022176061243290024,1
-0.9073229809279998,-0.11424070648349932,0.19267743774007984,-0.22339645039083467,-0.45575986020854253,1
-0.5174276546131635,-0.3615888575667692,-0.026141331496090436,-0.17128278495149546,0.1587354902171741,1
-0.5215566699034366,-0.3489209485240381,0.1792495236944236,-0.23095627869283775,-0.249712072378719,1
0.21374042148078132,-0.6066550906769534,-0.04260363981154425,-0.17597646617855278,0.3130254268043444,1
-0.5227594612319731,-0.34255083794358354,0.2688078415891447,-0.24293040199631405,-0.3964562383941572,1
-0.5174518001379736,-0.36842229368593177,-0.04275205314305064,-0.12772362260791723,0.23711132469388985,1
-0.5230264379588663,-0.3600641941702063,0.16788081821736467,-0.18623143599931868,-0.19092454528553132,1
0.20307277484037345,-0.6233763654143001,0.1417837289744971,-0.18293736827058377,-0.06937339313327595,1
0.20680589420050854,-0.6297372841242106,0.011666503663081196,-0.12992566541125644,0.21806266757545317,1
0.20537658345939735,-0.6144915007045377,0.16106069972594927,-0.17346340448096886,-0.04873572190645131,1
-0.5241601247195495,-0.385580165162007,0.046288534720385854,-0.0924899479830128,0.09124971706926549,1
-0.9056813053424936,-0.1613535101308038,-0.10510893064724475,0.0030013336945531564,0.2800225186869246,1
-0.521947913741301,-0.3958599423150204,-0.06445726136924751,-0.028143595296406577,0.3563652189131675,1
-0.5228385622942054,-0.391532364516207,-0.004364384073030081,-0.0408020701225118,0.24937640562709906,1
